scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_mean,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,signal_mean,label
-0.406965613,0.576667666,0.247488871,0.581106842,-1,1,1,0.9771806,-0.867024302,0.971932411,0.905637443,1,0.43643719,0.442200124,0.591146708,0.53954035,0.823825181,0.497735173,0.632357597,0.442242563,0.00300175813,0.000709235668,False
-0.855529904,0.442489207,0.849044383,0.530755639,-0.924180388,0.759352207,1,0.932315528,-1,0.807861388,0.662441134,1,0.326188058,0.423763812,0.599556148,0.791801453,0.555636346,0.602137148,1,0.369567573,0.0538114682,0.00110346079,False
-0.831836045,0.542254448,0.0733214095,0.538257241,-1,1,0.0938671902,0.971103609,-0.338940233,0.960360169,1,1,0.400390267,0.388268769,0.591957271,0.481046796,0.643139541,0.635926962,0.84312427,0.0865866765,0.141430497,0.000557541847,False
0.269665152,0.480235189,0.184051871,0.525525868,-0.435411423,0.777958751,0.379704386,0.841192663,-1,1,1,1,0.343648434,0.357734203,0.615507007,0.513430536,0.665428936,0.698253214,0.888934553,0.0429320112,0.0329251625,0.000294983387,False
-0.854171991,0.534351945,0.0360020585,0.498662621,-1,0.966593623,0.109346151,0.908479512,0.487794936,1,1,1,0.408132434,0.401909798,0.558753967,0.547283769,0.401232749,0.285452992,0.236194745,0.185519099,0.100163788,0.000763118267,False
-0.402749658,0.536350787,0.0092941355,0.556886137,-1,1,0.047110226,1,0.0524534211,0.940494359,1,0.990558863,0.268078119,0.26724872,0.298976541,0.318830729,0.574500978,0.525754094,0.356526077,0.302028656,0.129743114,0.00125169754,False
0.550721705,0.552581131,0.193684146,0.574976027,-0.354701012,1,0.126820356,1,1,0.859369814,1,0.95510447,0.592465639,0.579821587,0.814394057,0.747279227,0.580214262,0.479091674,0.826249659,0.679402828,0.105809972,0.00263649225,False
0.643328011,0.527054369,0.128181875,0.550490201,-1,1,0.0834002048,0.961592376,-0.32980147,0.968262255,1,1,0.34596017,0.310376257,0.326616287,0.293287039,0.564826608,0.458790869,0.812822104,0.230833352,0.0639037266,0.000757038593,False
1,0.433660716,0.390559584,0.478316873,-0.345683396,0.773541629,0.272337794,0.836373806,-0.596968353,0.841840029,1,0.889985025,0.478307933,0.50801301,0.820998609,0.891738594,0.975472391,1,1,0.0405607708,0.040058773,0.000969171524,False
-0.454903245,0.457177937,0.260522842,0.572787702,-1,0.837047637,0.814459264,0.986516953,-0.756174743,0.792597294,1,1,0.26678738,0.341057718,0.583031595,0.64373666,0.333949,0.496237427,1,0.610359013,0.124650642,0.000223517418,False
1,0.555494547,0.316005051,0.554171026,0.0541509837,0.937161028,0.0840209499,0.88148433,0.52784878,1,1,1,0.453754514,0.391795993,0.596138954,0.576449633,0.962906778,0.710637033,0.762735665,0.562291086,0.170954928,0.00154423714,False
-0.721409619,0.596978486,0.0887884125,0.637569785,-0.273223907,0.875220716,0.384083599,0.987379909,-1,0.967171967,1,1,0.710202634,0.728945076,0.487367928,0.45791617,0.640667558,0.608186185,1,0.888779998,0.166375741,9.87648964E-05,False
0.0654352903,0.332939982,0.200986803,0.398046076,1,0.517154098,0.417167187,0.63347578,0.0438048579,0.671371877,1,0.798456073,0.370289117,0.419743806,0.463061869,0.509765744,1,1,0.38048625,0.0566365086,0.0100508844,0.000549733639,False
0.0228712372,0.578867614,0.33174634,0.576841295,1,0.956180155,1,1,-0.731982768,1,0.113993466,0.973138392,0.440173894,0.434452534,0.223852858,0.227783188,0.331066281,0.298501492,0.0322470069,0.0258768518,0.409108549,0.000405848026,False
-0.0454668328,0.482762843,0.252457649,0.568180084,-0.212162495,0.833958626,0.554239333,0.969178677,-1,0.879728794,1,1,0.432054132,0.492363214,0.519160748,0.527092695,1,0.989700556,0.307922125,0.283341944,0.570210516,0.00110769272,False
-1,0.540934205,0.133808434,0.519317508,-0.19452402,0.817332268,0.375188589,0.832170963,-0.340155125,1,1,1,0.375550598,0.422106117,0.537466705,0.533624053,0.92943114,0.810367048,0.559798121,0.452110976,0.10452117,0.00158250332,False
