scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
-0.435030669,0.784472942,0.21524553,0.817704439,-0.873726428,1,0.255723715,1,-1,0.361965805,1,0.356343389,0.23361823,0.229364946,0.0556980073,0.0476995334,0.0582621098,0.0719461441,0.011217949,0.00283726235,0.0142806266,6.1750412E-05,1
0.873081684,0.818573475,1,0.830054104,-0.255588561,1,0.866687655,1,-1,0.514640212,0.491931707,0.49248898,0.407749772,0.395623952,0.122977853,0.12771821,0.0720904693,0.0730667189,0.0383899137,0.0111745549,0.0413964875,5.84721565E-05,1
-0.119095258,0.773036778,0.0649156645,0.814712405,-0.618344307,1,0.667752087,1,-1,0.598897099,1,0.594807386,0.283973038,0.296545804,0.0888518989,0.0926558748,0.0289336089,0.0272517353,0.0200568251,0.00289946049,0.0273196474,3.92794609E-05,1
-0.863310456,0.772101641,0.564213932,0.80174154,-0.747484684,1,1,1,1,0.471314311,0.881047487,0.478963524,0.288318962,0.267507285,0.152398661,0.142078027,0.0506881662,0.0378419235,0.0197781995,0.0158789922,0.0292182695,3.37958336E-05,1
0.496724695,0.722099602,0.155017525,0.735177934,-0.798894405,1,0.501202404,1,-1,0.897978842,1,0.87977761,0.324860156,0.307828367,0.156953946,0.179626092,0.0983132198,0.059283454,0.0339284576,0.00658886088,0.0401011631,1.41263008E-05,1
-0.20717749,0.76418519,0.0149799958,0.79168433,-1,1,0.397520214,1,0.0842937678,0.494718999,1,0.516589165,0.246248975,0.266747266,0.148554713,0.119932286,0.0241439361,0.0255002752,0.0249748342,0.00162635802,0.00822907221,3.98755074E-05,1
-0.705650926,0.742169559,0.232812598,0.756470025,-1,1,0.0077368468,1,-0.868518054,0.65702647,1,0.660756171,0.208918989,0.2108334,0.110961236,0.104291312,0.111662664,0.0639154315,0.0243073348,0.0205975883,0.0221490823,6.59227371E-05,1
-0.0893363282,0.720748127,0.0271211639,0.711819887,0.0504613966,1,0.847152233,1,1,0.689570367,1,0.68109113,0.288922071,0.289218187,0.114312254,0.0868428349,0.068711184,0.0529177822,0.0303217936,0.0231121443,0.0102529544,8.57710838E-05,1
-0.304081529,0.774082601,0.414764494,0.777339876,-0.719030619,1,0.0193786453,1,-1,0.581131041,1,0.551871777,0.279208302,0.250051349,0.100560196,0.0648491606,0.0697576776,0.0693391785,0.0302697644,0.0241532642,0.0469948165,3.59416008E-05,1
0.26248166,0.723741412,0.348740667,0.743057489,-1,1,0.182763308,1,-0.367775172,0.784065366,1,0.783931196,0.392645568,0.369694233,0.133693278,0.128516302,0.0793229267,0.0665722862,0.0590982065,0.00223268988,0.0455566905,2.53915787E-05,1
-0.486142784,0.76015389,0.00480994256,0.749145269,-0.0289014559,1,0.251090109,1,1,0.756272972,1,0.76823771,0.376413524,0.340004802,0.144262299,0.124802992,0.107126132,0.038942676,0.0578454323,0.0468116999,0.0270659085,8.76188278E-05,1
-0.227036372,0.712318063,0.0480647199,0.736710429,-0.284050882,1,1,1,-1,0.62412411,0.197972104,0.595504284,0.309255689,0.293901622,0.10899847,0.0887527019,0.0510438308,0.0519634597,0.0276552532,0.0223604124,0.00275230454,1.68681145E-05,1
-0.269929916,0.736253142,0.647110581,0.753787458,-0.576182723,1,1,1,-1,0.822257578,0.402205378,0.77319324,0.216564626,0.213105768,0.157045886,0.147636801,0.0286496393,0.0244295597,0.0355669819,0.0297997966,0.00985813886,6.63399696E-05,1
-0.599888563,0.786108315,0.0613526776,0.784425437,0.00821376406,1,0.650056839,1,-1,0.507257462,1,0.522182167,0.233398512,0.232168093,0.168312103,0.143065244,0.0546414219,0.0475976318,0.0394111387,0.0126324464,0.0219869316,1.34110451E-05,1
-0.544718206,0.782640159,0.00962354802,0.7587865,-0.302706659,1,0.815215766,1,-1,0.631730437,1,0.55283165,0.238418013,0.217487767,0.108835913,0.102993459,0.0563394278,0.0542220846,0.0186758172,0.00603315793,0.00372949126,7.65919685E-05,1
-0.18824248,0.775738299,0.267345041,0.759046853,0.101939827,1,1,1,-1,0.715478897,0.680797696,0.641114295,0.261666596,0.233771384,0.132388845,0.116806805,0.0607380457,0.0529324152,0.0194084141,0.00591723062,0.023596419,5.4359436E-05,1
-0.515399814,0.674176157,0.0912156925,0.700054407,-1,1,0.265739471,1,-0.93092078,0.609446228,1,0.598793805,0.188924402,0.203314796,0.143893749,0.142050818,0.108031645,0.0934477821,0.0156913083,0.0130032497,0.0289464034,8.69035721E-05,1
-0.602285445,0.738716185,0.0367719941,0.715742409,-0.0755927712,1,0.244790792,1,-1,0.675883532,1,0.615764618,0.297184378,0.271121025,0.0788002983,0.0940928385,0.0646157116,0.0580731034,0.013998297,0.0110001657,0.0393336155,7.12871552E-05,1
-0.616478741,0.772280455,0.597497523,0.772185206,-0.542660058,1,0.801226139,1,-1,0.471441716,1,0.443314314,0.228092879,0.219785854,0.139170259,0.113377199,0.0498743169,0.0390808955,0.0191632863,0.00864269678,0.00104527012,3.57627869E-07,1
0.121468052,0.764470518,0.331245273,0.782797039,-0.580469251,1,1,1,-1,0.569735289,0.98415035,0.528894305,0.283652395,0.283327848,0.188939571,0.172042102,0.0812144801,0.0726696253,0.0439350866,0.0352582,0.013348789,5.48362732E-06,1
-0.741735578,0.800929427,0.0677277446,0.810227275,-1,1,0.183406964,1,0.927933216,0.412488371,1,0.446181744,0.254110694,0.245003894,0.159712717,0.157968178,0.0812674239,0.0380850695,0.0154964086,0.0111455098,0.00197718642,2.86698341E-05,1
1,0.798112392,0.17044659,0.846737623,0.902180672,1,0.0838376954,1,0.81783849,0.468478203,1,0.50600481,0.324759603,0.310525239,0.132650793,0.13018553,0.150963798,0.130949199,0.0718148574,0.00384958298,0.0308920927,2.09212303E-05,1
0.98194468,0.733559072,0.104025841,0.754267871,1,1,0.243614256,1,-0.659462988,0.417532444,1,0.382343352,0.22759977,0.215519711,0.120182395,0.11232622,0.0443840697,0.0358722657,0.036356438,0.0281113852,0.0237415861,7.33733177E-05,1
0.0246386956,0.749648213,0.13185738,0.764229357,-0.945000052,1,0.389144063,1,-1,0.347965479,1,0.336815894,0.183520705,0.177823514,0.0701385364,0.0682614744,0.0465801135,0.0279256236,0.0132443607,0.00535407988,0.000623775995,8.76188278E-06,1
-0.701407731,0.767487168,0.143833011,0.767509043,-0.642437696,1,0.554920912,1,1,0.268321484,1,0.300106376,0.273135364,0.259469301,0.0643374994,0.0712886155,0.0399728306,0.0295152217,0.0136589836,0.0115840305,0.00240693428,1.44839287E-05,1
-0.0164928958,0.785942018,0.0396752544,0.777610123,-0.265605241,1,0.114171326,1,1,0.268697768,1,0.272382945,0.233000606,0.214155465,0.0652259961,0.0705809966,0.0574947372,0.0281316973,0.0335299149,0.00349737611,0.0228811968,7.27176666E-06,1
-0.413747132,0.814072549,0.0134661514,0.798748732,0.385900706,1,0.163393587,1,-1,0.415309936,1,0.391675144,0.284211367,0.250035346,0.158499673,0.138534456,0.0828966498,0.0648741275,0.0491886325,0.00375093915,0.000840033579,1.43647194E-05,1
-0.483048797,0.795848727,0.0185538214,0.779081166,0.380897254,1,0.354739934,1,-1,0.376524895,1,0.3342309,0.228238359,0.194200501,0.162029326,0.103347175,0.0840949416,0.0681946501,0.0334836245,0.00471094344,0.0122534083,5.71608543E-05,1
-0.74039191,0.786936283,0.184742793,0.819318771,-0.718220294,1,1,1,-1,0.38564977,0.873259902,0.389139354,0.219393685,0.211010158,0.145555332,0.117197849,0.0362348594,0.0386361592,0.0131389862,0.00444953889,0.00554300984,1.22785568E-05,1
-0.102064542,0.802820683,0.0299844109,0.7886554,0.2459791,1,0.51113081,1,-1,0.259550154,1,0.254834235,0.228328273,0.216991171,0.0692522824,0.0690234229,0.0803161114,0.0654940978,0.014468085,0.0114509426,0.0255562309,6.7949295E-06,1
-0.755994797,0.803277433,0.16722104,0.811568916,-0.787359595,1,0.141741291,1,-1,0.582708538,1,0.56167382,0.329250842,0.284957439,0.1541235,0.134538978,0.090711385,0.0538151301,0.010168069,0.00827736873,0.0180278141,2.06828117E-05,1
