scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
0.230768755,0.538503587,0.135480121,0.586949706,0.196777865,0.796050847,0.912691414,0.903465867,-1,0.959512234,0.266161174,0.979689777,-0.292477459,0.807104647,1,0.899978697,0.97419709,1,0.618129551,0.561762512,1,0.741868556,0.197570726,0.170098647,0.154480159,0.000184744596,1
0.319035679,0.540794551,1,0.530622661,-0.82559824,0.88610661,0.391142845,0.842163622,-1,0.937079847,0.566682756,0.864394248,-0.140699282,1,0.433082759,1,0.783777773,0.805883169,0.678581655,0.605872512,0.59243685,0.335910022,0.344356298,0.143770576,0.024053013,9.2625618E-05,1
-0.427437156,0.497678876,0.00103560381,0.525333405,0.449007183,0.651556373,1,0.693663836,-0.229238778,0.833665609,0.268649936,0.938712597,-1,1,0.171256825,1,0.82755357,0.765735149,0.42581895,0.435907066,0.560428977,0.506870389,0.163380235,0.0722768977,0.482980907,0.00030079484,1
-0.684980333,0.519533157,0.143703237,0.52905184,-0.0488022789,0.705694675,0.395061523,0.727213383,-1,0.820248961,0.529039443,0.819941223,-0.838158786,1,1,1,0.787794292,0.786534429,0.40716359,0.270445049,0.749389112,0.754501343,0.561991572,0.133662224,0.21404548,2.86698341E-05,1
0.645477712,0.530159712,0.127324849,0.553631544,-0.598624349,0.916103542,0.255005479,0.895169616,1,0.868348598,0.758200169,0.950578153,-0.594017088,1,1,1,0.66928637,0.714238703,0.719510794,0.675771534,0.491515249,0.297821075,0.11731825,0.0748632923,0.245699227,0.000322669744,1
0.341688454,0.540808856,1,0.572067022,-0.88937217,0.783829212,0.978347182,0.780915976,0.58447957,0.810831428,0.4426741,0.877974808,-1,1,0.603521168,1,0.627435982,0.646179676,0.634583652,0.594845176,0.678355455,0.581257761,0.171116129,0.0589382388,0.132812023,0.000548362732,1
0.665762246,0.518933177,0.268605113,0.535735965,-0.349708378,0.774831772,0.677352786,0.774505019,-0.987323642,1,1,1,-1,0.910838366,0.889799654,0.842382789,0.79922235,0.696752369,0.823987782,0.890660882,0.288830578,0.280707181,0.0901766047,0.0733401626,0.127121687,0.000181883574,1
0.397477418,0.496643662,1,0.517700374,-0.425837129,0.766798556,0.512845218,0.743989289,-0.469029248,0.953646064,0.323987931,0.932110846,-1,0.977066159,0.839312017,0.895913184,1,1,0.492375642,0.446823418,0.228946909,0.195137441,0.329542547,0.266757131,0.0477451086,0.000139206648,1
0.134720102,0.423839062,0.295059234,0.470704675,-0.0354876667,0.642564714,0.458213091,0.717713177,-0.255900294,0.864906967,0.898038328,0.97405076,-1,1,1,1,0.80144161,0.790362,0.413893551,0.463522136,0.315242231,0.301813096,0.520983517,0.463534474,0.0275761615,0.000106453896,1
1,0.62336719,1,0.638371348,0.299359053,0.872750342,0.566972554,0.913278639,0.685193002,0.909905672,0.311065316,0.949209154,-0.876201272,0.948911488,0.0612286404,1,1,0.882223308,0.811756194,0.668260038,0.626959383,0.636321962,0.719194472,0.581905186,0.224564582,0.000374376774,1
-0.274265647,0.547839999,0.202247277,0.58370018,0.739629686,0.695671439,0.166604251,0.78087467,1,0.788162589,0.488753438,0.915543914,0.7849406,0.800746441,1,0.847910762,1,1,0.83589536,0.818291306,0.34289515,0.286371529,0.100541964,0.0535660051,0.00255966606,0.000216752291,1
0.208879054,0.598914802,0.222022325,0.608515978,-0.166091904,0.808459461,0.0128749041,0.827035606,-0.233233735,1,0.543350279,1,1,0.867651165,1,0.903346539,0.675679028,0.764638066,0.745814979,0.714308798,0.570490479,0.418747663,0.0746061578,0.0611212552,0.115762867,0.000285744667,1
