scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
-0.169616058,0.543410063,0.230861664,0.574416101,-0.249214232,0.928505003,0.188386157,0.951450288,-0.903890014,1,1,1,-1,0.55104202,0.57281512,0.555384994,0.614325762,0.572669268,0.807073712,0.84120363,0.340835273,0.283410192,0.135853916,0.111470282,0.016851522,0.000237971544,2
-0.954149783,0.540073574,0.0315603577,0.527504563,-1,1,0.00829692651,1,0.322879016,0.779276371,1,0.622811317,-0.562454998,0.127961934,0.566108942,0.123078391,0.108331427,0.102952674,0.120422289,0.0980436727,0.0918639228,0.0771175921,0.062345434,0.0514818691,0.0194767136,0.000136494637,2
-0.623808861,0.561504424,0.00489764009,0.594819725,-1,0.987200379,0.037424583,1,-0.801741838,1,1,0.99953717,-0.86952877,0.261956245,0.442782581,0.248975635,0.204939798,0.19484289,0.282632887,0.227321908,0.200443417,0.134358451,0.0452008657,0.000160180236,0.045789849,6.6369772E-05,2
-0.534364104,0.527730048,0.0027868324,0.532659173,-0.463169903,0.892139614,0.024630852,0.8954916,-0.693495452,1,1,1,-1,0.229657963,0.0546946935,0.228586197,0.172063142,0.170234308,0.322194636,0.304975569,0.14143239,0.109948069,0.0401280448,0.0330186263,0.0197366364,2.95937061E-05,2
-0.871306837,0.54540813,0.00518886093,0.542828202,-0.877760947,0.988765717,0.120606191,1,-1,1,1,0.989871085,-0.683411002,0.174780205,0.136376366,0.174708188,0.164239094,0.167922229,0.228536606,0.208563939,0.091196008,0.0781102031,0.0290443115,0.0247057155,0.0168698505,0.000163882971,2
-0.743112743,0.472087562,0.116530381,0.47347796,-1,0.823266029,0.0694759339,0.814544261,-0.871879399,1,1,1,-0.683032095,0.157568559,0.400278628,0.160424367,0.231643841,0.230971068,0.292393208,0.280426502,0.155462116,0.0686234757,0.0266640093,0.00369342603,0.0601231344,2.20537186E-06,2
-0.297442794,0.474832833,0.0185282305,0.472311109,-0.318145424,0.854226351,0.00419451995,0.849897206,-0.305802822,1,0.122014068,1,1,0.178709507,1,0.201723069,0.173520148,0.175478771,0.322803676,0.346706033,0.108219229,0.111266963,0.129948467,0.10788285,0.0305393394,0.00032004714,2
-0.89543277,0.434475631,0.00230924948,0.440442979,-0.876000345,0.775312901,0.0368008763,0.783438861,-1,1,0.154009953,1,0.233313709,0.187558785,1,0.199138761,0.26732561,0.259928823,0.18986392,0.195739493,0.122627005,0.0762834251,0.0379793048,0.0285660587,0.00273062359,2.2560358E-05,2
-0.956359804,0.42257598,0.0750060007,0.428434819,-1,0.766243994,0.176734179,0.771727741,-0.991558611,1,0.375981778,1,-0.653717279,0.2002628,1,0.20578897,0.282152027,0.279901803,0.0826320499,0.0946518928,0.16058594,0.165906996,0.0615423732,0.0538814217,0.0575278066,0.000100314617,2
-0.993743956,0.414374858,0.000567027368,0.413869679,-0.938839018,0.746621192,0.000750347506,0.74891907,-0.988140285,1,0.162858337,1,-1,0.255878985,1,0.242481828,0.267586529,0.256759971,0.188208565,0.166259319,0.0857308209,0.0958036333,0.0403278507,0.0334646292,0.0331947245,0.000184893608,2
