scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
-0.223738536,0.182300925,0.0822264105,0.689768255,0.112209216,0.263439,0.189687803,1,1,0.158200279,1,0.613635421,-0.316889107,0.0799586922,0.775143623,0.289606243,0.0743734986,0.214003742,0.135211766,0.112750426,0.247160047,0.24228029,0.519807875,0.586807191,1,0.00985878706,1
-0.1409024,0.179098517,0.176164329,0.671426833,0.00160759676,0.262947023,0.781609893,1,1,0.151036859,0.403526515,0.621725023,-0.940252244,0.0619766787,1,0.227544338,0.0539948344,0.187816754,0.0811957121,0.277277321,0.12774083,0.474936098,0.244776592,0.739381075,0.260943741,0.0304675102,1
-0.189109251,0.300870359,0.27262941,0.661587,0.0363564119,0.453718126,0.42939049,1,-1,0.298411965,0.0209464822,0.636319816,-0.636062026,0.101206288,1,0.206327915,0.0970987901,0.158995479,0.163047791,0.101693533,0.31919378,0.38164553,0.65984118,0.289984494,1,0.0107954741,1
-0.847157955,0.108707853,0.29026106,0.71017915,-0.4974868,0.147957876,0.173910797,1,-1,0.0892677009,0.0167834386,0.575212419,-0.725282729,0.0396457054,1,0.253284425,0.0291504916,0.181029826,0.0489279367,0.248332694,0.0860179514,0.36511296,0.108383521,0.168535233,0.320622981,0.0367559195,1
-0.0209321119,0.18962945,0.131794259,0.701467693,-0.184495658,0.27516824,0.535151303,1,1,0.139528841,0.301572829,0.505854964,-0.393042624,0.061653398,1,0.211438969,0.0828238875,0.187139884,0.137892187,0.219517916,0.246940911,0.381487817,0.625747323,0.422920048,1,0.0208044052,1
0.105888389,0.10880015,0.0948591828,0.717174053,-0.0541429818,0.151688367,0.315979481,1,0.161686048,0.0820755437,0.453923464,0.536063135,1,0.0406237803,1,0.265273362,0.0422081687,0.221733958,0.0767878965,0.312483579,0.14754127,0.536601782,0.303861111,0.959750593,0.637818396,0.0499593616,1
-0.177494422,0.123377994,0.379984379,0.688227654,-0.4733603,0.18085064,0.119728297,1,-0.552329242,0.114622287,0.799071848,0.620089233,-1,0.034635745,1,0.188205391,0.0570054948,0.112550452,0.0967798755,0.175878689,0.21535024,0.324650407,0.456409693,0.0663510785,1,0.0320598483,1
0.287113428,0.155843854,0.535712838,0.686582506,0.203615084,0.228264093,1,1,-1,0.145082265,0.749630213,0.620415211,-0.177285776,0.0798206106,0.333134681,0.330155492,0.0780475512,0.296198398,0.0617013276,0.267861247,0.110559866,0.496750832,0.23308073,0.273404002,0.502101362,0.0251454711,1
-0.664768577,0.157605946,0.00578694139,0.687401533,-0.628744662,0.229445666,0.111367993,1,-1,0.114695244,0.392802328,0.488880873,-0.371385574,0.0701497868,1,0.304833978,0.0742608234,0.304021686,0.058333993,0.240084544,0.0501739942,0.264777571,0.1154195,0.406776011,0.098920159,0.0345648527,1
-0.602802336,0.282021016,0.105063818,0.672592759,-0.7264992,0.418624431,0.319128066,1,-0.0679584965,0.246486455,0.131077066,0.614299476,-1,0.144307181,1,0.289951503,0.138754904,0.307896942,0.158951312,0.338769764,0.366224796,0.635248423,0.512180328,0.158855468,1,0.00996160507,1
1,0.18355307,0.169504344,0.680728793,0.717809677,0.278967083,0.00110090605,1,-0.222016051,0.124981277,0.822301388,0.417320848,-0.542482376,0.110703669,1,0.360433489,0.0659193546,0.181425631,0.0665093362,0.178427756,0.198620349,0.497858196,0.365867168,0.183855504,1,0.0214245915,1
-0.322438717,0.127243683,1,0.671236277,-0.76189512,0.194720939,0.796623826,1,-1,0.124663398,0.378465682,0.637719989,-0.194812313,0.0414794609,0.536313593,0.198987588,0.0684373602,0.315223396,0.104546241,0.439089596,0.174641281,0.597894013,0.263158292,0.863843858,1,0.0297194719,1
0.564152658,0.24631846,0.880943298,0.694794714,1,0.344715178,1,1,-0.175734892,0.181227297,0.705966532,0.517315924,0.299575537,0.102389917,0.734930217,0.289772123,0.0868304372,0.20243755,0.158308059,0.216940448,0.266744435,0.353317261,0.442245245,0.569918633,1,0.00913399458,1
-0.767949224,0.159748659,0.188217908,0.709070027,-1,0.229687274,0.072009325,1,-0.23752521,0.122403666,0.122900032,0.56183809,0.0559489131,0.042251803,1,0.188806579,0.0386253558,0.15370068,0.0542708822,0.224217445,0.138271227,0.503674269,0.240078151,0.883322179,0.249366298,0.0322147608,1
-1,0.350635737,0.200162977,0.696591377,-0.661469162,0.494496971,0.330245972,1,-0.984663427,0.278468192,0.0105603086,0.534469008,-0.504933059,0.110584617,1,0.220849782,0.0910709575,0.1522021,0.121396825,0.0979152024,0.291908085,0.174619526,0.428216547,0.377504498,1,0.00591903925,1
-0.4546175,0.324175298,0.346837759,0.695973277,-0.605185151,0.467944115,0.392191201,1,-0.249442443,0.260063499,0.614078462,0.575408518,-1,0.139252514,1,0.238478467,0.075631626,0.162442431,0.0765807033,0.120295547,0.055111926,0.0955524147,0.208387882,0.213859051,0.315584511,0.0145702362,1
0.29968667,0.659699202,0.261025757,0.699604511,1,0.930307388,0.218465775,1,-0.298491418,0.531089067,0.16848363,0.564082682,0.433616549,0.278489769,1,0.288761497,0.215437099,0.216610432,0.27132076,0.227353469,0.376350939,0.341433883,0.63810581,0.385568857,0.815301061,0.0055206418,1
-0.290162414,0.523169696,0.43419826,0.698092878,0.805873394,0.725248694,0.125813007,1,-0.884197414,0.476850063,1,0.618705928,-1,0.174073905,0.401207715,0.183884591,0.133205175,0.161399469,0.147951633,0.171607539,0.103870288,0.0927252993,0.222394854,0.232790187,0.477745384,0.00905400515,1
-0.404503435,0.593120337,1,0.660466552,-1,0.892138481,0.647984803,1,-0.53696841,0.558250189,0.633978307,0.61586237,0.0206284802,0.229920164,0.748395085,0.238383889,0.159314662,0.154886797,0.180656239,0.179351002,0.17276457,0.1573174,0.32957539,0.213813037,1,0.00104302168,1
-0.258737206,0.71036303,0.81087476,0.691831529,-0.130068585,1,1,1,-1,0.625157952,0.236819312,0.60074681,0.360942453,0.252956152,0.277503252,0.254673779,0.184045255,0.163102165,0.147043854,0.142185569,0.14685525,0.127794743,0.274794906,0.215253055,0.550928831,0.000443279743,1
-0.102395147,0.698197782,0.0659457594,0.688866675,-0.0803898945,1,0.131776512,1,-1,0.700776994,0.0496979244,0.651131809,-0.825058699,0.296321362,1,0.274906516,0.214076146,0.214945629,0.141728729,0.126391038,0.140374631,0.134650379,0.405519545,0.320128351,0.555147171,0.000225305557,1
0.125380144,0.375135541,0.876053512,0.676345289,-0.0164352953,0.568575799,1,1,-1,0.300121576,0.328079373,0.507574677,-0.0804295689,0.153717607,0.803752065,0.272241652,0.0987011045,0.18493101,0.124463096,0.217481166,0.16624184,0.239446089,0.221502438,0.31848672,0.388072878,0.0126973987,1
